name,url,address,scope,country,state
=== NATIONAL NEWS SITES (Nigeria) ===,,,,,
"FRCN Radio House, Abuja",https://radionigeria.gov.ng/,"2FRR+JGP, Herbert Macaulay Wy, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Federal Capital Territory
Nigerian Institute Of Journalism,http://nij.edu.ng/,"8 - 14 Ijaiye Rd, Aguda, Ikeja 101233, Lagos, Nigeria",national,Nigeria,Federal Capital Territory
"Eko FM 89.7 Lagos, Ikeja",http://ekofm.lagosstate.gov.ng/,"1 Lateef Jakande Rd, Agidingbi, Ikeja 101233, Lagos, Nigeria",national,Nigeria,Federal Capital Territory
Benue Television,https://benuetv.be.gov.ng/,"1 Kashim Ibrahim Road, Old GRA, Makurdi 970101, Benue, Nigeria",national,Nigeria,Federal Capital Territory
The News Chronicle,https://thenews-chronicle.com/,"Unit 1, Vintage Hill Estate Plot No 1368, Guzape, District 900231, Federal Capital Territory, Nigeria",national,Nigeria,Federal Capital Territory
News Central TV,https://newscentral.africa/,"8 Wemco Rd, Ikeja, 100283, Lagos, Nigeria",national,Nigeria,Federal Capital Territory
The Nigerian News,https://thenigerian.news/,"2 Jos Rd, Ado 900101, Federal Capital Territory, Nigeria",national,Nigeria,Federal Capital Territory
National Telescope Online Newspaper & TV,https://nationaltelescope.com/,"Km 5 New Ife Express Road, opposite Nigerian Breweries Plc, Egbeda, Ibadan 200113, Oyo, Nigeria",national,Nigeria,Federal Capital Territory
NewsclickNG,https://newsclickng.com/,"2nd Floor, Bola Events/Office Plaza Old Lagos-Abeokuta Road Lagos NG, Oko-Oba Rd, near Agege Abbattoir Complex, Ifako-Ijaiye, Agege 100213, Lagos, Nigeria",national,Nigeria,Federal Capital Territory
Nigerian Cable News,https://www.nigeriancablenewsonline.com/,"Plot 1 November St, Karu, Ado 900110, Federal Capital Territory, Nigeria",national,Nigeria,Federal Capital Territory
,,,,,
=== STATE/LOCAL NEWS SITES (Federal Capital Territory) ===,,,,,
Community Health Practitioners Registration Board Of Nigeria Abuja Zuba Expressway,https://www.chprbn.gov.ng/,"10 Babatope Ajakaiye Cres, Gwarinpa, Abuja 900108, Federal Capital Territory, Nigeria",state,Nigeria,Federal Capital Territory
Federal Road Safety Corps National Headquarters,http://www.frsc.gov.ng/,"Zone 3, 4 Maputo St, Wuse, Abuja 904101, Federal Capital Territory, Nigeria",state,Nigeria,Federal Capital Territory
The United Nations World Food Programme (WFP) Nigeria,https://www.wfp.org/countries/nigeria,"23 Ibrahim Tahir Street, Mabushi, Abuja 900108, Federal Capital Territory, Nigeria",state,Nigeria,Federal Capital Territory
FCT Internal Revenue Service HQ,http://fctirs.gov.ng/,"2F63+VW8, Christopher Gwabin Musa Wy, Durumi, Abuja 900103, Federal Capital Territory, Nigeria",state,Nigeria,Federal Capital Territory
Centre for Journalism Innovation and Development,https://thecjid.org/,"Plot 1088 Isiyaku Ismaila Cres, District, Abuja 900108, Federal Capital Territory, Nigeria",state,Nigeria,Federal Capital Territory
