name,url,address,scope,country,state
=== NATIONAL NEWS SITES (Kenya) ===,,,,,
K24 TV,https://www.k24tv.co.ke/,"DSM Place, Kijabe Street, Nairobi, Kenya",national,Kenya,Nairobi County
Nation Centre,https://www.pdmholdings.com/,"Kimathi St, Nairobi, Kenya",national,Kenya,Nairobi County
GBS TV Africa,https://www.gbskenya.com/,"QVHH+4MX, USIU Rd, Nairobi, Kenya",national,Kenya,Nairobi County
Royal Media Services Ltd(Head Office),https://www.royalmedia.co.ke/,"Kilimani Maalim Juma Rd, Communication Centre, Off Dennis Pritt Rd, Nairobi, Kenya",national,Kenya,Nairobi County
"Nyayo House, Nairobi.",https://immigration.go.ke/,"PR79+577, Posta Rd, Nairobi, Kenya",national,Kenya,Nairobi County
KASS TV & KASS FM,https://www.kasstv.co.ke/,"Hospital Rd, JAMII TOWERS, Hospital Close, Nairobi, Kenya",national,Kenya,Nairobi County
Kenyan Times,https://www.kenyantimes.co.ke/,"PR27+M62, Nairobi, Kenya",national,Kenya,Nairobi County
Switch TV,https://www.switchtv.ke/,"Kenya Red Cross Rd, Nairobi, Kenya",national,Kenya,Nairobi County
Elevate TV,https://www.elevatetv.co.ke/,"Kenya Cinema Plaza The Apostolic House, Nairobi, Kenya",national,Kenya,Nairobi County
The Standard Group PLC,http://www.standardmedia.co.ke/,"A109, Nairobi City, Kenya",national,Kenya,Nairobi County
,,,,,
=== STATE/LOCAL NEWS SITES (Nairobi County) ===,,,,,
Government Press(Government Printer),http://www.governmentpress.go.ke/,"Haile Selassie Ave, Nairobi, Kenya",state,Kenya,Nairobi County
Kenya Literature Bureau,http://www.klb.co.ke/,"Starehe, Kenya",state,Kenya,Nairobi County
Nairobi County,http://www.nairobi.go.ke/,"Nairobi County, Kenya",state,Kenya,Nairobi County
Nigerian Television Authority,http://www.nta.ng/,"NTA Headquarters, By FCDA Road, Area 11, Garki, Abuja, FCT, Garki, Abuja 900103, Federal Capital Territory, Nigeria",state,Kenya,Nairobi County
