name,url,address,scope,country,state
=== NATIONAL NEWS SITES (Nigeria) ===,,,,,
Nigerian Television Authority,https://www.nta.ng/,"2GX2+978, Garki 2, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Daily Trust NewsPaper,https://dailytrust.com/,"20 P.O.W. Mafemi Cres, Utako, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
The News Chronicle,https://thenews-chronicle.com/,"Unit 1, Vintage Hill Estate Plot No 1368, Guzape, District 900231, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Channels Television,https://channelstv.com/,"Abazie Ifeanyi Close, Guzape, Abuja 900110, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Trust TV,https://trusttv.com/,"20 P.O.W. Mafemi Cres, Mabushi, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
News Central TV,https://newscentral.africa/,"8 Wemco Rd, Ikeja, 100283, Lagos, Nigeria",national,Nigeria,Plateau
Nigeria News,https://www.newslodge.com.ng/,"Nigeria, Jabi, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
National Telescope Online Newspaper & TV,https://nationaltelescope.com/,"Km 5 New Ife Express Road, opposite Nigerian Breweries Plc, Egbeda, Ibadan 200113, Oyo, Nigeria",national,Nigeria,Plateau
"FRCN Radio House, Abuja",https://radionigeria.gov.ng/,"2FRR+JGP, Herbert Macaulay Wy, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Nigerian Television Authority,http://www.nta.ng/,"NTA Headquarters, By FCDA Road, Area 11, Garki, Abuja, FCT, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
,,,,,
=== STATE/LOCAL NEWS SITES (Plateau) ===,,,,,
The Authority Newspaper,http://www.authorityngr.com/,"off Lake Chad, 10 Oguda CL., Maitama, Abuja 904101, Federal Capital Territory, Nigeria",state,Nigeria,Plateau
Plateau,http://www.plateaustate.gov.ng/,"Plateau, Nigeria",state,Nigeria,Plateau
